Survived,Name,Sex,Age,SibSp,Parch,Embarked
0,"White, Mr. Richard Frasar",male,21,0,1,S
0,"Johansson, Mr. Gustaf Joel",male,33,0,0,S
0,"Gustafsson, Mr. Anders Vilhelm",male,37,2,0,S
0,"Mionoff, Mr. Stoytcho",male,28,0,0,S
1,"Salkjelsvik, Miss. Anna Kristine",female,21,0,0,S
1,"Moss, Mr. Albert Johan",male,,0,0,S
0,"Rekic, Mr. Tido",male,38,0,0,S
1,"Moran, Miss. Bertha",female,,1,0,Q
0,"Porter, Mr. Walter Chamberlain",male,47,0,0,S
0,"Zabour, Miss. Hileni",female,14.5,1,0,C
0,"Barton, Mr. David John",male,22,0,0,S
0,"Jussila, Miss. Katriina",female,20,1,0,S
0,"Attalah, Miss. Malake",female,17,0,0,C
0,"Pekoniemi, Mr. Edvard",male,21,0,0,S
0,"Connors, Mr. Patrick",male,70.5,0,0,Q
0,"Turpin, Mr. William John Robert",male,29,1,0,S
0,"Baxter, Mr. Quigg Edmond",male,24,0,1,C
0,"Andersson, Miss. Ellis Anna Maria",female,2,4,2,S
0,"Hickman, Mr. Stanley George",male,21,2,0,S
0,"Moore, Mr. Leonard Charles",male,,0,0,S
0,"Nasser, Mr. Nicholas",male,32.5,1,0,C
1,"Webber, Miss. Susan",female,32.5,0,0,S
0,"White, Mr. Percival Wayland",male,54,0,1,S
1,"Nicola-Yarred, Master. Elias",male,12,1,0,C
0,"McMahon, Mr. Martin",male,,0,0,Q
1,"Madsen, Mr. Fridtjof Arne",male,24,0,0,S
1,"Peter, Miss. Anna",female,,1,1,C
0,"Ekstrom, Mr. Johan",male,45,0,0,S
0,"Drazenoic, Mr. Jozef",male,33,0,0,C
0,"Coelho, Mr. Domingos Fernandeo",male,20,0,0,S
0,"Robins, Mrs. Alexander A (Grace Charity Laury)",female,47,1,0,S
1,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",female,29,1,0,S
0,"Sobey, Mr. Samuel James Hayden",male,25,0,0,S
0,"Richard, Mr. Emile",male,23,0,0,C
1,"Newsom, Miss. Helen Monypeny",female,19,0,2,S
0,"Futrelle, Mr. Jacques Heath",male,37,1,0,S
0,"Osen, Mr. Olaf Elon",male,16,0,0,S
0,"Giglio, Mr. Victor",male,24,0,0,C
0,"Boulos, Mrs. Joseph (Sultana)",female,,0,2,C
1,"Nysten, Miss. Anna Sofia",female,22,0,0,S
1,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",female,24,1,0,S
0,"Burke, Mr. Jeremiah",male,19,0,0,Q
0,"Andrew, Mr. Edgardo Samuel",male,18,0,0,S
0,"Nicholls, Mr. Joseph Charles",male,19,1,1,S
1,"Andersson, Mr. August Edvard (""Wennerstrom"")",male,27,0,0,S
0,"Ford, Miss. Robina Maggie ""Ruby""",female,9,2,2,S
0,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,36.5,0,2,S
0,"Byles, Rev. Thomas Roussel Davids",male,42,0,0,S
0,"Bateman, Rev. Robert James",male,51,0,0,S
1,"Pears, Mrs. Thomas (Edith Wearne)",female,22,1,0,S
0,"Meo, Mr. Alfonzo",male,55.5,0,0,S
0,"van Billiard, Mr. Austin Blyler",male,40.5,0,2,S
0,"Olsen, Mr. Ole Martin",male,,0,0,S
0,"Williams, Mr. Charles Duane",male,51,0,1,C
1,"Gilnagh, Miss. Katherine ""Katie""",female,16,0,0,Q
0,"Corn, Mr. Harry",male,30,0,0,S
0,"Smiljanic, Mr. Mile",male,,0,0,S
0,"Sage, Master. Thomas Henry",male,,8,2,S
0,"Cribb, Mr. John Hatfield",male,44,0,1,S
1,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",female,40,0,0,S
0,"Bengtsson, Mr. John Viktor",male,26,0,0,S
0,"Calic, Mr. Jovo",male,17,0,0,S
0,"Panula, Master. Eino Viljami",male,1,4,1,S
1,"Goldsmith, Master. Frank John William ""Frankie""",male,9,0,2,S
1,"Chibnall, Mrs. (Edith Martha Bowerman)",female,,0,1,S
0,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",female,45,1,4,S
0,"Baumann, Mr. John D",male,,0,0,S
0,"Ling, Mr. Lee",male,28,0,0,S
0,"Van der hoef, Mr. Wyckoff",male,61,0,0,S
0,"Rice, Master. Arthur",male,4,4,1,Q
1,"Johnson, Miss. Eleanor Ileen",female,1,1,1,S
0,"Sivola, Mr. Antti Wilhelm",male,21,0,0,S
0,"Smith, Mr. James Clinch",male,56,0,0,C
0,"Klasen, Mr. Klas Albin",male,18,1,1,S
0,"Lefebre, Master. Henry Forbes",male,,3,1,S
0,"Isham, Miss. Ann Elizabeth",female,50,0,0,C
0,"Hale, Mr. Reginald",male,30,0,0,S
0,"Leonard, Mr. Lionel",male,36,0,0,S
0,"Sage, Miss. Constance Gladys",female,,8,2,S
0,"Pernot, Mr. Rene",male,,0,0,C
0,"Asplund, Master. Clarence Gustaf Hugo",male,9,4,2,S
1,"Becker, Master. Richard F",male,1,2,1,S
1,"Kink-Heilmann, Miss. Luise Gretchen",female,4,0,2,S
0,"Rood, Mr. Hugh Roscoe",male,,0,0,S
1,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",female,,1,0,Q
1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",male,45,0,0,S
0,"Bourke, Mr. John",male,40,1,1,Q
0,"Turcin, Mr. Stjepan",male,36,0,0,S
1,"Pinsky, Mrs. (Rosa)",female,32,0,0,S
0,"Carbines, Mr. William",male,19,0,0,S
1,"Andersen-Jensen, Miss. Carla Christine Nielsine",female,19,1,0,S
1,"Navratil, Master. Michel M",male,3,1,1,S
1,"Brown, Mrs. James Joseph (Margaret Tobin)",female,44,0,0,C
1,"Lurette, Miss. Elise",female,58,0,0,C
0,"Mernagh, Mr. Robert",male,,0,0,Q
0,"Olsen, Mr. Karl Siegwart Andreas",male,42,0,1,S
1,"Madigan, Miss. Margaret ""Maggie""",female,,0,0,Q
0,"Yrois, Miss. Henriette (""Mrs Harbeck"")",female,24,0,0,S
0,"Vande Walle, Mr. Nestor Cyriel",male,28,0,0,S
0,"Sage, Mr. Frederick",male,,8,2,S
0,"Johanson, Mr. Jakob Alfred",male,34,0,0,S
0,"Youseff, Mr. Gerious",male,45.5,0,0,C
1,"Cohen, Mr. Gurshon ""Gus""",male,18,0,0,S
0,"Strom, Miss. Telma Matilda",female,2,0,1,S
0,"Backstrom, Mr. Karl Alfred",male,32,1,0,S
1,"Albimona, Mr. Nassef Cassem",male,26,0,0,C
1,"Carr, Miss. Helen ""Ellen""",female,16,0,0,Q
1,"Blank, Mr. Henry",male,40,0,0,C
0,"Ali, Mr. Ahmed",male,24,0,0,S
1,"Cameron, Miss. Clear Annie",female,35,0,0,S
0,"Perkin, Mr. John Henry",male,22,0,0,S
0,"Givard, Mr. Hans Kristensen",male,30,0,0,S
0,"Kiernan, Mr. Philip",male,,1,0,Q
1,"Newell, Miss. Madeleine",female,31,1,0,C
1,"Honkanen, Miss. Eliina",female,27,0,0,S
0,"Jacobsohn, Mr. Sidney Samuel",male,42,1,0,S
1,"Bazzani, Miss. Albina",female,32,0,0,C
0,"Harris, Mr. Walter",male,30,0,0,S
1,"Sunderland, Mr. Victor Francis",male,16,0,0,S
0,"Bracken, Mr. James H",male,27,0,0,S
0,"Green, Mr. George Henry",male,51,0,0,S
0,"Nenkoff, Mr. Christo",male,,0,0,S
1,"Hoyt, Mr. Frederick Maxfield",male,38,1,0,S
0,"Berglund, Mr. Karl Ivar Sven",male,22,0,0,S
1,"Mellors, Mr. William John",male,19,0,0,S
0,"Lovell, Mr. John Hall (""Henry"")",male,20.5,0,0,S
0,"Fahlstrom, Mr. Arne Jonas",male,18,0,0,S
0,"Lefebre, Miss. Mathilde",female,,3,1,S
1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",female,35,1,0,S
0,"Larsson, Mr. Bengt Edvin",male,29,0,0,S
0,"Sjostedt, Mr. Ernst Adolf",male,59,0,0,S
1,"Asplund, Miss. Lillian Gertrud",female,5,4,2,S
0,"Leyson, Mr. Robert William Norman",male,24,0,0,S
0,"Harknett, Miss. Alice Phoebe",female,,0,0,S
0,"Hold, Mr. Stephen",male,44,1,0,S
1,"Collyer, Miss. Marjorie ""Lottie""",female,8,0,2,S
0,"Pengelly, Mr. Frederick William",male,19,0,0,S
0,"Hunt, Mr. George Henry",male,33,0,0,S
0,"Zabour, Miss. Thamine",female,,1,0,C
1,"Murphy, Miss. Katherine ""Kate""",female,,1,0,Q
0,"Coleridge, Mr. Reginald Charles",male,29,0,0,S
0,"Maenpaa, Mr. Matti Alexanteri",male,22,0,0,S
0,"Attalah, Mr. Sleiman",male,30,0,0,C
0,"Minahan, Dr. William Edward",male,44,2,0,Q
0,"Lindahl, Miss. Agda Thorilda Viktoria",female,25,0,0,S
1,"Hamalainen, Mrs. William (Anna)",female,24,0,2,S
1,"Beckwith, Mr. Richard Leonard",male,37,1,1,S
0,"Carter, Rev. Ernest Courtenay",male,54,1,0,S
0,"Reed, Mr. James George",male,,0,0,S
0,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",female,29,1,1,S
0,"Stead, Mr. William Thomas",male,62,0,0,S
0,"Lobb, Mr. William Arthur",male,30,1,0,S
0,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",female,41,0,2,S
1,"Touma, Mrs. Darwis (Hanne Youssef Razi)",female,29,0,2,C
1,"Thorne, Mrs. Gertrude Maybelle",female,,0,0,C
1,"Cherry, Miss. Gladys",female,30,0,0,S
1,"Ward, Miss. Anna",female,35,0,0,C
1,"Parrish, Mrs. (Lutie Davis)",female,50,0,1,S
0,"Smith, Mr. Thomas",male,,0,0,Q
1,"Asplund, Master. Edvin Rojj Felix",male,3,4,2,S
0,"Taussig, Mr. Emil",male,52,1,1,S
0,"Harrison, Mr. William",male,40,0,0,S
0,"Henry, Miss. Delia",female,,0,0,Q
0,"Reeves, Mr. David",male,36,0,0,S
0,"Panula, Mr. Ernesti Arvid",male,16,4,1,S
1,"Persson, Mr. Ernst Ulrik",male,25,1,0,S
1,"Graham, Mrs. William Thompson (Edith Junkins)",female,58,0,1,S
1,"Bissette, Miss. Amelia",female,35,0,0,S
0,"Cairns, Mr. Alexander",male,,0,0,S
1,"Tornquist, Mr. William Henry",male,25,0,0,S
1,"Mellinger, Mrs. (Elizabeth Anne Maidment)",female,41,0,1,S
0,"Natsch, Mr. Charles H",male,37,0,1,C
1,"Healy, Miss. Hanora ""Nora""",female,,0,0,Q
1,"Andrews, Miss. Kornelia Theodosia",female,63,1,0,S
0,"Lindblom, Miss. Augusta Charlotta",female,45,0,0,S
0,"Parkes, Mr. Francis ""Frank""",male,,0,0,S
0,"Rice, Master. Eric",male,7,4,1,Q
1,"Abbott, Mrs. Stanton (Rosa Hunt)",female,35,1,1,S
0,"Duane, Mr. Frank",male,65,0,0,Q
0,"Olsson, Mr. Nils Johan Goransson",male,28,0,0,S
0,"de Pelsmaeker, Mr. Alfons",male,16,0,0,S
1,"Dorking, Mr. Edward Arthur",male,19,0,0,S
0,"Smith, Mr. Richard William",male,,0,0,S
0,"Stankovic, Mr. Ivan",male,33,0,0,C
1,"de Mulder, Mr. Theodore",male,30,0,0,S
0,"Naidenoff, Mr. Penko",male,22,0,0,S
1,"Hosono, Mr. Masabumi",male,42,0,0,S
1,"Connolly, Miss. Kate",female,22,0,0,Q
1,"Barber, Miss. Ellen ""Nellie""",female,26,0,0,S
1,"Bishop, Mrs. Dickinson H (Helen Walton)",female,19,1,0,C
0,"Levy, Mr. Rene Jacques",male,36,0,0,C
0,"Haas, Miss. Aloisia",female,24,0,0,S
0,"Mineff, Mr. Ivan",male,24,0,0,S
0,"Lewy, Mr. Ervin G",male,,0,0,C
0,"Hanna, Mr. Mansour",male,23.5,0,0,C
0,"Allison, Miss. Helen Loraine",female,2,1,2,S
1,"Saalfeld, Mr. Adolphe",male,,0,0,S
1,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",female,50,0,1,C
1,"Kelly, Miss. Anna Katherine ""Annie Kate""",female,,0,0,Q
1,"McCoy, Mr. Bernard",male,,2,0,Q
0,"Johnson, Mr. William Cahoone Jr",male,19,0,0,S
1,"Keane, Miss. Nora A",female,,0,0,Q
0,"Williams, Mr. Howard Hugh ""Harry""",male,,0,0,S
1,"Allison, Master. Hudson Trevor",male,0.92,1,2,S
1,"Fleming, Miss. Margaret",female,,0,0,C
1,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",female,17,1,0,C
0,"Abelson, Mr. Samuel",male,30,1,0,C
1,"Francatelli, Miss. Laura Mabel",female,30,0,0,C
1,"Hays, Miss. Margaret Bechstein",female,24,0,0,C
1,"Ryerson, Miss. Emily Borie",female,18,2,2,C
0,"Lahtinen, Mrs. William (Anna Sylfven)",female,26,1,1,S
0,"Hendekovic, Mr. Ignjac",male,28,0,0,S
0,"Hart, Mr. Benjamin",male,43,1,1,S
1,"Nilsson, Miss. Helmina Josefina",female,26,0,0,S
1,"Kantor, Mrs. Sinai (Miriam Sternin)",female,24,1,0,S
0,"Moraweck, Dr. Ernest",male,54,0,0,S
1,"Wick, Miss. Mary Natalie",female,31,0,2,S
1,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",female,40,1,1,C
0,"Dennis, Mr. Samuel",male,22,0,0,S
0,"Danoff, Mr. Yoto",male,27,0,0,S
1,"Slayter, Miss. Hilda Mary",female,30,0,0,Q
1,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",female,22,1,1,S
0,"Sage, Mr. George John Jr",male,,8,2,S
1,"Young, Miss. Marie Grice",female,36,0,0,C
0,"Nysveen, Mr. Johan Hansen",male,61,0,0,S
1,"Ball, Mrs. (Ada E Hall)",female,36,0,0,S
1,"Goldsmith, Mrs. Frank John (Emily Alice Brown)",female,31,1,1,S
1,"Hippach, Miss. Jean Gertrude",female,16,0,1,C
1,"McCoy, Miss. Agnes",female,,2,0,Q
0,"Partner, Mr. Austen",male,45.5,0,0,S
0,"Graham, Mr. George Edward",male,38,0,1,S
0,"Vander Planke, Mr. Leo Edmondus",male,16,2,0,S
1,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",female,,1,0,S
0,"Denkoff, Mr. Mitto",male,,0,0,S
0,"Pears, Mr. Thomas Clinton",male,29,1,0,S
1,"Burns, Miss. Elizabeth Margaret",female,41,0,0,C
1,"Dahl, Mr. Karl Edwart",male,45,0,0,S
0,"Blackwell, Mr. Stephen Weart",male,45,0,0,S
1,"Navratil, Master. Edmond Roger",male,2,1,1,S
1,"Fortune, Miss. Alice Elizabeth",female,24,3,2,S
0,"Collander, Mr. Erik Gustaf",male,28,0,0,S
0,"Sedgwick, Mr. Charles Frederick Waddington",male,25,0,0,S
0,"Fox, Mr. Stanley Hubert",male,36,0,0,S
1,"Brown, Miss. Amelia ""Mildred""",female,24,0,0,S
1,"Smith, Miss. Marion Elsie",female,40,0,0,S
1,"Davison, Mrs. Thomas Henry (Mary E Finck)",female,,1,0,S
1,"Coutts, Master. William Loch ""William""",male,3,1,1,S
0,"Dimic, Mr. Jovan",male,42,0,0,S
0,"Odahl, Mr. Nils Martin",male,23,0,0,S
0,"Williams-Lambert, Mr. Fletcher Fellows",male,,0,0,S
0,"Elias, Mr. Tannous",male,15,1,1,C
0,"Arnold-Franchi, Mr. Josef",male,25,1,0,S
0,"Yousif, Mr. Wazli",male,,0,0,C
0,"Vanden Steen, Mr. Leo Peter",male,28,0,0,S
1,"Bowerman, Miss. Elsie Edith",female,22,0,1,S
0,"Funk, Miss. Annie Clemmer",female,38,0,0,S
1,"McGovern, Miss. Mary",female,,0,0,Q
1,"Mockler, Miss. Helen Mary ""Ellie""",female,,0,0,Q
0,"Skoog, Mr. Wilhelm",male,40,1,4,S
0,"del Carlo, Mr. Sebastiano",male,29,1,0,C
0,"Barbara, Mrs. (Catherine David)",female,45,0,1,C
0,"Asim, Mr. Adola",male,35,0,0,S
0,"O'Brien, Mr. Thomas",male,,1,0,Q
0,"Adahl, Mr. Mauritz Nils Martin",male,30,0,0,S
1,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",female,60,1,0,C
1,"Moussa, Mrs. (Mantoura Boulos)",female,,0,0,C
1,"Jermyn, Miss. Annie",female,,0,0,Q
1,"Aubart, Mme. Leontine Pauline",female,24,0,0,C
1,"Harder, Mr. George Achilles",male,25,1,0,C
0,"Wiklund, Mr. Jakob Alfred",male,18,1,0,S
0,"Beavan, Mr. William Thomas",male,19,0,0,S
0,"Ringhini, Mr. Sante",male,22,0,0,C
0,"Palsson, Miss. Stina Viola",female,3,3,1,S
1,"Meyer, Mrs. Edgar Joseph (Leila Saks)",female,,1,0,C
1,"Landergren, Miss. Aurora Adelia",female,22,0,0,S
0,"Widener, Mr. Harry Elkins",male,27,0,2,C
0,"Betros, Mr. Tannous",male,20,0,0,C
0,"Gustafsson, Mr. Karl Gideon",male,19,0,0,S
1,"Bidois, Miss. Rosalie",female,42,0,0,C
1,"Nakid, Miss. Maria (""Mary"")",female,1,0,2,C
0,"Tikkanen, Mr. Juho",male,32,0,0,S
1,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",female,35,1,0,S
0,"Plotcharsky, Mr. Vasil",male,,0,0,S
0,"Davies, Mr. Charles Henry",male,18,0,0,S
0,"Goodwin, Master. Sidney Leonard",male,1,5,2,S
1,"Buss, Miss. Kate",female,36,0,0,S
0,"Sadlier, Mr. Matthew",male,,0,0,Q
1,"Lehmann, Miss. Bertha",female,17,0,0,C
1,"Carter, Mr. William Ernest",male,36,1,2,S
1,"Jansson, Mr. Carl Olof",male,21,0,0,S
0,"Gustafsson, Mr. Johan Birger",male,28,2,0,S
1,"Newell, Miss. Marjorie",female,23,1,0,C
1,"Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)",female,24,0,2,S
0,"Johansson, Mr. Erik",male,22,0,0,S
0,"Olsson, Miss. Elina",female,31,0,0,S
0,"McKane, Mr. Peter David",male,46,0,0,S
0,"Pain, Dr. Alfred",male,23,0,0,S
1,"Trout, Mrs. William H (Jessie L)",female,28,0,0,S
1,"Niskanen, Mr. Juha",male,39,0,0,S
0,"Adams, Mr. John",male,26,0,0,S
0,"Jussila, Miss. Mari Aina",female,21,1,0,S
0,"Hakkarainen, Mr. Pekka Pietari",male,28,1,0,S
0,"Oreskovic, Miss. Marija",female,20,0,0,S
0,"Gale, Mr. Shadrach",male,34,1,0,S
0,"Widegren, Mr. Carl/Charles Peter",male,51,0,0,S
1,"Richards, Master. William Rowe",male,3,1,1,S
0,"Birkeland, Mr. Hans Martin Monsen",male,21,0,0,S
0,"Lefebre, Miss. Ida",female,,3,1,S
0,"Sdycoff, Mr. Todor",male,,0,0,S
0,"Hart, Mr. Henry",male,,0,0,Q
1,"Minahan, Miss. Daisy E",female,33,1,0,Q
0,"Cunningham, Mr. Alfred Fleming",male,,0,0,S
1,"Sundman, Mr. Johan Julian",male,44,0,0,S
0,"Meek, Mrs. Thomas (Annie Louise Rowley)",female,,0,0,S
1,"Drew, Mrs. James Vivian (Lulu Thorne Christian)",female,34,1,1,S
1,"Silven, Miss. Lyyli Karoliina",female,18,0,2,S
0,"Matthews, Mr. William John",male,30,0,0,S
0,"Van Impe, Miss. Catharina",female,10,0,2,S
0,"Gheorgheff, Mr. Stanio",male,,0,0,C
0,"Charters, Mr. David",male,21,0,0,Q
0,"Zimmerman, Mr. Leo",male,29,0,0,S
0,"Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)",female,28,1,1,S
0,"Rosblom, Mr. Viktor Richard",male,18,1,1,S
0,"Wiseman, Mr. Phillippe",male,,0,0,S
1,"Clarke, Mrs. Charles V (Ada Maria Winfield)",female,28,1,0,S
1,"Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")",female,19,0,0,S
0,"Flynn, Mr. James",male,,0,0,Q
1,"Pickard, Mr. Berk (Berk Trembisky)",male,32,0,0,S
1,"Bjornstrom-Steffansson, Mr. Mauritz Hakan",male,28,0,0,S
1,"Thorneycroft, Mrs. Percival (Florence Kate White)",female,,1,0,S
1,"Louch, Mrs. Charles Alexander (Alice Adelaide Slow)",female,42,1,0,S
0,"Kallio, Mr. Nikolai Erland",male,17,0,0,S
0,"Silvey, Mr. William Baird",male,50,1,0,S
1,"Carter, Miss. Lucile Polk",female,14,1,2,S
0,"Ford, Miss. Doolina Margaret ""Daisy""",female,21,2,2,S
1,"Richards, Mrs. Sidney (Emily Hocking)",female,24,2,3,S
0,"Fortune, Mr. Mark",male,64,1,4,S
0,"Kvillner, Mr. Johan Henrik Johannesson",male,31,0,0,S
1,"Hart, Mrs. Benjamin (Esther Ada Bloomfield)",female,45,1,1,S
0,"Hampe, Mr. Leon",male,20,0,0,S
0,"Petterson, Mr. Johan Emil",male,25,1,0,S
1,"Reynaldo, Ms. Encarnacion",female,28,0,0,S
1,"Johannesen-Bratthammer, Mr. Bernt",male,,0,0,S
1,"Dodge, Master. Washington",male,4,0,2,S
1,"Mellinger, Miss. Madeleine Violet",female,13,0,1,S
1,"Seward, Mr. Frederic Kimber",male,34,0,0,S
1,"Baclini, Miss. Marie Catherine",female,5,2,1,C
1,"Peuchen, Major. Arthur Godfrey",male,52,0,0,S
0,"West, Mr. Edwy Arthur",male,36,1,2,S
